STATcube

Studies at public universities (Q)
Semester, Sex and Universität (Ebene +1) by Ordinary Studies and Kind of study
Counting: Ordinary Studies

Semester,Sex,University (Ebene +1),Values,Kind of study,Number,Annotations,Column1
winter semester 2003/04,female,University of the sciences,Ordinary Studies,Bachelor studies,9225,,
winter semester 2003/04,female,University of the sciences,Ordinary Studies,Diploma studies,114803,,
winter semester 2003/04,female,University of the sciences,Ordinary Studies,Master studies,358,,
winter semester 2003/04,female,University of the sciences,Ordinary Studies,Doctoral studies,7008,,
winter semester 2003/04,female,University of the arts,Ordinary Studies,Bachelor studies,717,,
winter semester 2003/04,female,University of the arts,Ordinary Studies,Diploma studies,4053,,
winter semester 2003/04,female,University of the arts,Ordinary Studies,Master studies,142,,
winter semester 2003/04,female,University of the arts,Ordinary Studies,Doctoral studies,173,,
winter semester 2003/04,male,University of the sciences,Ordinary Studies,Bachelor studies,12869,,
winter semester 2003/04,male,University of the sciences,Ordinary Studies,Diploma studies,100820,,
winter semester 2003/04,male,University of the sciences,Ordinary Studies,Master studies,521,,
winter semester 2003/04,male,University of the sciences,Ordinary Studies,Doctoral studies,8499,,
winter semester 2003/04,male,University of the arts,Ordinary Studies,Bachelor studies,511,,
winter semester 2003/04,male,University of the arts,Ordinary Studies,Diploma studies,3046,,
winter semester 2003/04,male,University of the arts,Ordinary Studies,Master studies,53,,
winter semester 2003/04,male,University of the arts,Ordinary Studies,Doctoral studies,159,,
summer semester 2004,female,University of the sciences,Ordinary Studies,Bachelor studies,9860,,
summer semester 2004,female,University of the sciences,Ordinary Studies,Diploma studies,107852,,
summer semester 2004,female,University of the sciences,Ordinary Studies,Master studies,599,,
summer semester 2004,female,University of the sciences,Ordinary Studies,Doctoral studies,7057,,
summer semester 2004,female,University of the arts,Ordinary Studies,Bachelor studies,739,,
summer semester 2004,female,University of the arts,Ordinary Studies,Diploma studies,3774,,
summer semester 2004,female,University of the arts,Ordinary Studies,Master studies,197,,
summer semester 2004,female,University of the arts,Ordinary Studies,Doctoral studies,193,,
summer semester 2004,male,University of the sciences,Ordinary Studies,Bachelor studies,13775,,
summer semester 2004,male,University of the sciences,Ordinary Studies,Diploma studies,94482,,
summer semester 2004,male,University of the sciences,Ordinary Studies,Master studies,805,,
summer semester 2004,male,University of the sciences,Ordinary Studies,Doctoral studies,8569,,
summer semester 2004,male,University of the arts,Ordinary Studies,Bachelor studies,563,,
summer semester 2004,male,University of the arts,Ordinary Studies,Diploma studies,2810,,
summer semester 2004,male,University of the arts,Ordinary Studies,Master studies,96,,
summer semester 2004,male,University of the arts,Ordinary Studies,Doctoral studies,155,,
winter semester 2004/05,female,University of the sciences,Ordinary Studies,Bachelor studies,14278,,
winter semester 2004/05,female,University of the sciences,Ordinary Studies,Diploma studies,113696,,
winter semester 2004/05,female,University of the sciences,Ordinary Studies,Master studies,965,,
winter semester 2004/05,female,University of the sciences,Ordinary Studies,Doctoral studies,7094,,
winter semester 2004/05,female,University of the arts,Ordinary Studies,Bachelor studies,1000,,
winter semester 2004/05,female,University of the arts,Ordinary Studies,Diploma studies,3693,,
winter semester 2004/05,female,University of the arts,Ordinary Studies,Master studies,314,,
winter semester 2004/05,female,University of the arts,Ordinary Studies,Doctoral studies,210,,
winter semester 2004/05,male,University of the sciences,Ordinary Studies,Bachelor studies,17927,,
winter semester 2004/05,male,University of the sciences,Ordinary Studies,Diploma studies,96334,,
winter semester 2004/05,male,University of the sciences,Ordinary Studies,Master studies,1278,,
winter semester 2004/05,male,University of the sciences,Ordinary Studies,Doctoral studies,8690,,
winter semester 2004/05,male,University of the arts,Ordinary Studies,Bachelor studies,693,,
winter semester 2004/05,male,University of the arts,Ordinary Studies,Diploma studies,2719,,
winter semester 2004/05,male,University of the arts,Ordinary Studies,Master studies,154,,
winter semester 2004/05,male,University of the arts,Ordinary Studies,Doctoral studies,176,,
summer semester 2005,female,University of the sciences,Ordinary Studies,Bachelor studies,14519,,
summer semester 2005,female,University of the sciences,Ordinary Studies,Diploma studies,106536,,
summer semester 2005,female,University of the sciences,Ordinary Studies,Master studies,1281,,
summer semester 2005,female,University of the sciences,Ordinary Studies,Doctoral studies,7277,,
summer semester 2005,female,University of the arts,Ordinary Studies,Bachelor studies,986,,
summer semester 2005,female,University of the arts,Ordinary Studies,Diploma studies,3381,,
summer semester 2005,female,University of the arts,Ordinary Studies,Master studies,394,,
summer semester 2005,female,University of the arts,Ordinary Studies,Doctoral studies,216,,
summer semester 2005,male,University of the sciences,Ordinary Studies,Bachelor studies,18617,,
summer semester 2005,male,University of the sciences,Ordinary Studies,Diploma studies,89278,,
summer semester 2005,male,University of the sciences,Ordinary Studies,Master studies,1732,,
summer semester 2005,male,University of the sciences,Ordinary Studies,Doctoral studies,8851,,
summer semester 2005,male,University of the arts,Ordinary Studies,Bachelor studies,688,,
summer semester 2005,male,University of the arts,Ordinary Studies,Diploma studies,2510,,
summer semester 2005,male,University of the arts,Ordinary Studies,Master studies,199,,
summer semester 2005,male,University of the arts,Ordinary Studies,Doctoral studies,180,,
winter semester 2005/06,female,University of the sciences,Ordinary Studies,Bachelor studies,19540,,
winter semester 2005/06,female,University of the sciences,Ordinary Studies,Diploma studies,115122,,
winter semester 2005/06,female,University of the sciences,Ordinary Studies,Master studies,1704,,
winter semester 2005/06,female,University of the sciences,Ordinary Studies,Doctoral studies,7661,,
winter semester 2005/06,female,University of the arts,Ordinary Studies,Bachelor studies,1178,,
winter semester 2005/06,female,University of the arts,Ordinary Studies,Diploma studies,3361,,
winter semester 2005/06,female,University of the arts,Ordinary Studies,Master studies,482,,
winter semester 2005/06,female,University of the arts,Ordinary Studies,Doctoral studies,230,,
winter semester 2005/06,male,University of the sciences,Ordinary Studies,Bachelor studies,23234,,
winter semester 2005/06,male,University of the sciences,Ordinary Studies,Diploma studies,93724,,
winter semester 2005/06,male,University of the sciences,Ordinary Studies,Master studies,2320,,
winter semester 2005/06,male,University of the sciences,Ordinary Studies,Doctoral studies,9170,,
winter semester 2005/06,male,University of the arts,Ordinary Studies,Bachelor studies,832,,
winter semester 2005/06,male,University of the arts,Ordinary Studies,Diploma studies,2489,,
winter semester 2005/06,male,University of the arts,Ordinary Studies,Master studies,273,,
winter semester 2005/06,male,University of the arts,Ordinary Studies,Doctoral studies,199,,
summer semester 2006,female,University of the sciences,Ordinary Studies,Bachelor studies,19430,,
summer semester 2006,female,University of the sciences,Ordinary Studies,Diploma studies,109195,,
summer semester 2006,female,University of the sciences,Ordinary Studies,Master studies,2156,,
summer semester 2006,female,University of the sciences,Ordinary Studies,Doctoral studies,7953,,
summer semester 2006,female,University of the arts,Ordinary Studies,Bachelor studies,1135,,
summer semester 2006,female,University of the arts,Ordinary Studies,Diploma studies,3109,,
summer semester 2006,female,University of the arts,Ordinary Studies,Master studies,538,,
summer semester 2006,female,University of the arts,Ordinary Studies,Doctoral studies,246,,
summer semester 2006,male,University of the sciences,Ordinary Studies,Bachelor studies,23140,,
summer semester 2006,male,University of the sciences,Ordinary Studies,Diploma studies,89022,,
summer semester 2006,male,University of the sciences,Ordinary Studies,Master studies,2964,,
summer semester 2006,male,University of the sciences,Ordinary Studies,Doctoral studies,9600,,
summer semester 2006,male,University of the arts,Ordinary Studies,Bachelor studies,794,,
summer semester 2006,male,University of the arts,Ordinary Studies,Diploma studies,2312,,
summer semester 2006,male,University of the arts,Ordinary Studies,Master studies,297,,
summer semester 2006,male,University of the arts,Ordinary Studies,Doctoral studies,215,,
winter semester 2006/07,female,University of the sciences,Ordinary Studies,Bachelor studies,28769,,
winter semester 2006/07,female,University of the sciences,Ordinary Studies,Diploma studies,113238,,
winter semester 2006/07,female,University of the sciences,Ordinary Studies,Master studies,2893,,
winter semester 2006/07,female,University of the sciences,Ordinary Studies,Doctoral studies,8241,,
winter semester 2006/07,female,University of the arts,Ordinary Studies,Bachelor studies,1359,,
winter semester 2006/07,female,University of the arts,Ordinary Studies,Diploma studies,3148,,
winter semester 2006/07,female,University of the arts,Ordinary Studies,Master studies,595,,
winter semester 2006/07,female,University of the arts,Ordinary Studies,Doctoral studies,284,,
winter semester 2006/07,male,University of the sciences,Ordinary Studies,Bachelor studies,31703,,
winter semester 2006/07,male,University of the sciences,Ordinary Studies,Diploma studies,89941,,
winter semester 2006/07,male,University of the sciences,Ordinary Studies,Master studies,3705,,
winter semester 2006/07,male,University of the sciences,Ordinary Studies,Doctoral studies,9914,,
winter semester 2006/07,male,University of the arts,Ordinary Studies,Bachelor studies,965,,
winter semester 2006/07,male,University of the arts,Ordinary Studies,Diploma studies,2360,,
winter semester 2006/07,male,University of the arts,Ordinary Studies,Master studies,351,,
winter semester 2006/07,male,University of the arts,Ordinary Studies,Doctoral studies,234,,
summer semester 2007,female,University of the sciences,Ordinary Studies,Bachelor studies,28435,,
summer semester 2007,female,University of the sciences,Ordinary Studies,Diploma studies,108111,,
summer semester 2007,female,University of the sciences,Ordinary Studies,Master studies,3517,,
summer semester 2007,female,University of the sciences,Ordinary Studies,Doctoral studies,8768,,
summer semester 2007,female,University of the arts,Ordinary Studies,Bachelor studies,1328,,
summer semester 2007,female,University of the arts,Ordinary Studies,Diploma studies,2917,,
summer semester 2007,female,University of the arts,Ordinary Studies,Master studies,577,,
summer semester 2007,female,University of the arts,Ordinary Studies,Doctoral studies,297,,
summer semester 2007,male,University of the sciences,Ordinary Studies,Bachelor studies,32036,,
summer semester 2007,male,University of the sciences,Ordinary Studies,Diploma studies,85946,,
summer semester 2007,male,University of the sciences,Ordinary Studies,Master studies,4336,,
summer semester 2007,male,University of the sciences,Ordinary Studies,Doctoral studies,10573,,
summer semester 2007,male,University of the arts,Ordinary Studies,Bachelor studies,930,,
summer semester 2007,male,University of the arts,Ordinary Studies,Diploma studies,2151,,
summer semester 2007,male,University of the arts,Ordinary Studies,Master studies,387,,
summer semester 2007,male,University of the arts,Ordinary Studies,Doctoral studies,242,,
winter semester 2007/08,female,University of the sciences,Ordinary Studies,Bachelor studies,40087,,
winter semester 2007/08,female,University of the sciences,Ordinary Studies,Diploma studies,108774,,
winter semester 2007/08,female,University of the sciences,Ordinary Studies,Master studies,4580,,
winter semester 2007/08,female,University of the sciences,Ordinary Studies,Doctoral studies,9092,,
winter semester 2007/08,female,University of the arts,Ordinary Studies,Bachelor studies,1419,,
winter semester 2007/08,female,University of the arts,Ordinary Studies,Diploma studies,3015,,
winter semester 2007/08,female,University of the arts,Ordinary Studies,Master studies,665,,
winter semester 2007/08,female,University of the arts,Ordinary Studies,Doctoral studies,308,,
winter semester 2007/08,male,University of the sciences,Ordinary Studies,Bachelor studies,42134,,
winter semester 2007/08,male,University of the sciences,Ordinary Studies,Diploma studies,83561,,
winter semester 2007/08,male,University of the sciences,Ordinary Studies,Master studies,5177,,
winter semester 2007/08,male,University of the sciences,Ordinary Studies,Doctoral studies,10829,,
winter semester 2007/08,male,University of the arts,Ordinary Studies,Bachelor studies,1094,,
winter semester 2007/08,male,University of the arts,Ordinary Studies,Diploma studies,2201,,
winter semester 2007/08,male,University of the arts,Ordinary Studies,Master studies,440,,
winter semester 2007/08,male,University of the arts,Ordinary Studies,Doctoral studies,255,,
summer semester 2008,female,University of the sciences,Ordinary Studies,Bachelor studies,39461,,
summer semester 2008,female,University of the sciences,Ordinary Studies,Diploma studies,103463,,
summer semester 2008,female,University of the sciences,Ordinary Studies,Master studies,5224,,
summer semester 2008,female,University of the sciences,Ordinary Studies,Doctoral studies,9342,,
summer semester 2008,female,University of the arts,Ordinary Studies,Bachelor studies,1390,,
summer semester 2008,female,University of the arts,Ordinary Studies,Diploma studies,2827,,
summer semester 2008,female,University of the arts,Ordinary Studies,Master studies,659,,
summer semester 2008,female,University of the arts,Ordinary Studies,Doctoral studies,318,,
summer semester 2008,male,University of the sciences,Ordinary Studies,Bachelor studies,41956,,
summer semester 2008,male,University of the sciences,Ordinary Studies,Diploma studies,79038,,
summer semester 2008,male,University of the sciences,Ordinary Studies,Master studies,5763,,
summer semester 2008,male,University of the sciences,Ordinary Studies,Doctoral studies,11292,,
summer semester 2008,male,University of the arts,Ordinary Studies,Bachelor studies,1056,,
summer semester 2008,male,University of the arts,Ordinary Studies,Diploma studies,2080,,
summer semester 2008,male,University of the arts,Ordinary Studies,Master studies,457,,
summer semester 2008,male,University of the arts,Ordinary Studies,Doctoral studies,263,,
winter semester 2008/09,female,University of the sciences,Ordinary Studies,Bachelor studies,55892,,
winter semester 2008/09,female,University of the sciences,Ordinary Studies,Diploma studies,94550,,
winter semester 2008/09,female,University of the sciences,Ordinary Studies,Master studies,6531,,
winter semester 2008/09,female,University of the sciences,Ordinary Studies,Doctoral studies,9601,,
winter semester 2008/09,female,University of the arts,Ordinary Studies,Bachelor studies,1520,,
winter semester 2008/09,female,University of the arts,Ordinary Studies,Diploma studies,2952,,
winter semester 2008/09,female,University of the arts,Ordinary Studies,Master studies,725,,
winter semester 2008/09,female,University of the arts,Ordinary Studies,Doctoral studies,338,,
winter semester 2008/09,male,University of the sciences,Ordinary Studies,Bachelor studies,55104,,
winter semester 2008/09,male,University of the sciences,Ordinary Studies,Diploma studies,68765,,
winter semester 2008/09,male,University of the sciences,Ordinary Studies,Master studies,6881,,
winter semester 2008/09,male,University of the sciences,Ordinary Studies,Doctoral studies,11542,,
winter semester 2008/09,male,University of the arts,Ordinary Studies,Bachelor studies,1216,,
winter semester 2008/09,male,University of the arts,Ordinary Studies,Diploma studies,2148,,
winter semester 2008/09,male,University of the arts,Ordinary Studies,Master studies,476,,
winter semester 2008/09,male,University of the arts,Ordinary Studies,Doctoral studies,267,,
summer semester 2009,female,University of the sciences,Ordinary Studies,Bachelor studies,55439,,
summer semester 2009,female,University of the sciences,Ordinary Studies,Diploma studies,84197,,
summer semester 2009,female,University of the sciences,Ordinary Studies,Master studies,7582,,
summer semester 2009,female,University of the sciences,Ordinary Studies,Doctoral studies,13461,,
summer semester 2009,female,University of the arts,Ordinary Studies,Bachelor studies,1461,,
summer semester 2009,female,University of the arts,Ordinary Studies,Diploma studies,2850,,
summer semester 2009,female,University of the arts,Ordinary Studies,Master studies,736,,
summer semester 2009,female,University of the arts,Ordinary Studies,Doctoral studies,377,,
summer semester 2009,male,University of the sciences,Ordinary Studies,Bachelor studies,55358,,
summer semester 2009,male,University of the sciences,Ordinary Studies,Diploma studies,61480,,
summer semester 2009,male,University of the sciences,Ordinary Studies,Master studies,8100,,
summer semester 2009,male,University of the sciences,Ordinary Studies,Doctoral studies,15279,,
summer semester 2009,male,University of the arts,Ordinary Studies,Bachelor studies,1157,,
summer semester 2009,male,University of the arts,Ordinary Studies,Diploma studies,2035,,
summer semester 2009,male,University of the arts,Ordinary Studies,Master studies,510,,
summer semester 2009,male,University of the arts,Ordinary Studies,Doctoral studies,340,,
winter semester 2009/10,female,University of the sciences,Ordinary Studies,Bachelor studies,71665,,
winter semester 2009/10,female,University of the sciences,Ordinary Studies,Diploma studies,79394,,
winter semester 2009/10,female,University of the sciences,Ordinary Studies,Master studies,9330,,
winter semester 2009/10,female,University of the sciences,Ordinary Studies,Doctoral studies,13902,,
winter semester 2009/10,female,University of the arts,Ordinary Studies,Bachelor studies,1610,,
winter semester 2009/10,female,University of the arts,Ordinary Studies,Diploma studies,2959,,
winter semester 2009/10,female,University of the arts,Ordinary Studies,Master studies,774,,
winter semester 2009/10,female,University of the arts,Ordinary Studies,Doctoral studies,426,,
winter semester 2009/10,male,University of the sciences,Ordinary Studies,Bachelor studies,67254,,
winter semester 2009/10,male,University of the sciences,Ordinary Studies,Diploma studies,58514,,
winter semester 2009/10,male,University of the sciences,Ordinary Studies,Master studies,9840,,
winter semester 2009/10,male,University of the sciences,Ordinary Studies,Doctoral studies,15754,,
winter semester 2009/10,male,University of the arts,Ordinary Studies,Bachelor studies,1257,,
winter semester 2009/10,male,University of the arts,Ordinary Studies,Diploma studies,2147,,
winter semester 2009/10,male,University of the arts,Ordinary Studies,Master studies,552,,
winter semester 2009/10,male,University of the arts,Ordinary Studies,Doctoral studies,372,,
summer semester 2010,female,University of the sciences,Ordinary Studies,Bachelor studies,68847,,
summer semester 2010,female,University of the sciences,Ordinary Studies,Diploma studies,72412,,
summer semester 2010,female,University of the sciences,Ordinary Studies,Master studies,10082,,
summer semester 2010,female,University of the sciences,Ordinary Studies,Doctoral studies,13547,,
summer semester 2010,female,University of the arts,Ordinary Studies,Bachelor studies,1531,,
summer semester 2010,female,University of the arts,Ordinary Studies,Diploma studies,2839,,
summer semester 2010,female,University of the arts,Ordinary Studies,Master studies,759,,
summer semester 2010,female,University of the arts,Ordinary Studies,Doctoral studies,419,,
summer semester 2010,male,University of the sciences,Ordinary Studies,Bachelor studies,65558,,
summer semester 2010,male,University of the sciences,Ordinary Studies,Diploma studies,52944,,
summer semester 2010,male,University of the sciences,Ordinary Studies,Master studies,10542,,
summer semester 2010,male,University of the sciences,Ordinary Studies,Doctoral studies,15380,,
summer semester 2010,male,University of the arts,Ordinary Studies,Bachelor studies,1198,,
summer semester 2010,male,University of the arts,Ordinary Studies,Diploma studies,2037,,
summer semester 2010,male,University of the arts,Ordinary Studies,Master studies,537,,
summer semester 2010,male,University of the arts,Ordinary Studies,Doctoral studies,370,,
winter semester 2010/11,female,University of the sciences,Ordinary Studies,Bachelor studies,80942,,
winter semester 2010/11,female,University of the sciences,Ordinary Studies,Diploma studies,70188,,
winter semester 2010/11,female,University of the sciences,Ordinary Studies,Master studies,12070,,
winter semester 2010/11,female,University of the sciences,Ordinary Studies,Doctoral studies,13604,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Bachelor studies,1672,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Diploma studies,2935,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Master studies,829,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Doctoral studies,443,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Bachelor studies,74213,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Diploma studies,51226,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Master studies,12381,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Doctoral studies,15448,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Bachelor studies,1349,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Diploma studies,2077,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Master studies,603,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Doctoral studies,402,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Bachelor studies,78247,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Diploma studies,65091,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Master studies,12880,,
